south_1,south_2,north_1,north_2,east_1,east_2,west_1,west_2,datetime,intersection,day,day_name
1,2,3,2,7,9,8,5,2024-04-01 00:00:00,Yonge and Bloor,0,Monday
5,2,5,2,4,5,3,6,2024-04-01 00:15:00,Yonge and Bloor,0,Monday
1,1,2,4,4,3,6,4,2024-04-01 00:30:00,Yonge and Bloor,0,Monday
4,1,1,1,7,4,5,5,2024-04-01 00:45:00,Yonge and Bloor,0,Monday
2,4,1,1,5,6,5,4,2024-04-01 01:00:00,Yonge and Bloor,0,Monday
4,2,2,3,4,7,5,4,2024-04-01 01:15:00,Yonge and Bloor,0,Monday
1,4,1,1,5,3,6,6,2024-04-01 01:30:00,Yonge and Bloor,0,Monday
1,3,2,4,7,6,4,4,2024-04-01 01:45:00,Yonge and Bloor,0,Monday
4,2,4,1,6,3,5,5,2024-04-01 02:00:00,Yonge and Bloor,0,Monday
3,4,4,4,4,9,8,7,2024-04-01 02:15:00,Yonge and Bloor,0,Monday
1,1,4,4,6,6,7,5,2024-04-01 02:30:00,Yonge and Bloor,0,Monday
3,3,1,4,5,3,6,6,2024-04-01 02:45:00,Yonge and Bloor,0,Monday
2,2,2,3,7,9,6,6,2024-04-01 03:00:00,Yonge and Bloor,0,Monday
8,1,4,2,7,5,7,4,2024-04-01 03:15:00,Yonge and Bloor,0,Monday
4,3,2,1,6,4,5,6,2024-04-01 03:30:00,Yonge and Bloor,0,Monday
3,2,4,3,5,6,7,6,2024-04-01 03:45:00,Yonge and Bloor,0,Monday
2,3,1,3,4,9,3,7,2024-04-01 04:00:00,Yonge and Bloor,0,Monday
2,4,2,4,5,8,6,6,2024-04-01 04:15:00,Yonge and Bloor,0,Monday
1,4,1,1,5,4,3,4,2024-04-01 04:30:00,Yonge and Bloor,0,Monday
2,2,4,2,4,8,6,4,2024-04-01 04:45:00,Yonge and Bloor,0,Monday
31,25,28,27,31,33,30,31,2024-04-01 05:00:00,Yonge and Bloor,0,Monday
27,24,27,25,31,33,26,30,2024-04-01 05:15:00,Yonge and Bloor,0,Monday
30,25,25,27,29,26,28,29,2024-04-01 05:30:00,Yonge and Bloor,0,Monday
26,24,25,24,27,29,27,31,2024-04-01 05:45:00,Yonge and Bloor,0,Monday
26,25,24,27,27,29,28,31,2024-04-01 06:00:00,Yonge and Bloor,0,Monday
25,24,27,24,27,30,32,28,2024-04-01 06:15:00,Yonge and Bloor,0,Monday
28,27,26,26,28,33,29,28,2024-04-01 06:30:00,Yonge and Bloor,0,Monday
32,27,24,25,30,28,26,28,2024-04-01 06:45:00,Yonge and Bloor,0,Monday
29,28,31,25,27,30,29,28,2024-04-01 07:00:00,Yonge and Bloor,0,Monday
27,24,25,27,30,33,31,28,2024-04-01 07:15:00,Yonge and Bloor,0,Monday
24,25,25,25,30,27,30,29,2024-04-01 07:30:00,Yonge and Bloor,0,Monday
27,26,25,24,28,30,29,28,2024-04-01 07:45:00,Yonge and Bloor,0,Monday
40,39,43,39,42,41,43,43,2024-04-01 08:00:00,Yonge and Bloor,0,Monday
41,39,40,41,44,41,42,42,2024-04-01 08:15:00,Yonge and Bloor,0,Monday
39,40,40,39,42,42,42,42,2024-04-01 08:30:00,Yonge and Bloor,0,Monday
39,40,40,40,42,42,43,42,2024-04-01 08:45:00,Yonge and Bloor,0,Monday
53,38,49,43,47,41,55,54,2024-04-01 09:00:00,Yonge and Bloor,0,Monday
40,42,46,45,40,54,50,56,2024-04-01 09:15:00,Yonge and Bloor,0,Monday
44,48,53,53,47,51,51,39,2024-04-01 09:30:00,Yonge and Bloor,0,Monday
37,42,37,42,47,42,40,47,2024-04-01 09:45:00,Yonge and Bloor,0,Monday
42,40,46,51,53,50,49,51,2024-04-01 10:00:00,Yonge and Bloor,0,Monday
41,49,49,51,51,48,51,40,2024-04-01 10:15:00,Yonge and Bloor,0,Monday
39,38,51,38,41,51,48,42,2024-04-01 10:30:00,Yonge and Bloor,0,Monday
37,45,51,52,48,50,48,47,2024-04-01 10:45:00,Yonge and Bloor,0,Monday
43,41,45,38,53,55,48,43,2024-04-01 11:00:00,Yonge and Bloor,0,Monday
